snd/rcv         time       type       sequence        payload size    ack             Timeout         window size    
rcv             24.0       A          1               0               570000          105             3              
snd/dup         24.0       D          575000          5000            0               930             3              
snd             24.0       D          575000          5000            1               930             3              
snd             24.0       D          580000          5000            1               930             4              
rcv             24.0       A          1               0               575000          0               3              
snd             24.0       D          585000          5000            1               748             4              
rcv             24.0       A          1               0               580000          2               3              
snd             24.0       D          590000          5000            1               749             4              
rcv             24.0       A          1               0               585000          1               3              
rcv             24.0       A          1               0               585000          1               2              
drop            24.0       D          595000          5000            0               748             3              
drop            24.0       D          600000          5000            0               748             4              
rcv             24.0       A          1               0               590000          1               3              
rcv             24.0       A          1               0               590000          1               2              
snd/dup         24.0       D          605000          5000            0               748             3              
snd             24.0       D          605000          5000            1               748             3              
drop            24.0       D          610000          5000            0               748             4              
rcv             24.0       A          1               0               605000          1               3              
snd/rord        24.0       D          615000          5000            0               748             4              
snd/dup         24.0       D          595000          5000            0               848             4              
snd             24.0       D          595000          5000            1               848             4              
tout/RXT        24.0       D          595000          5000            0               848             4              
rcv             24.0       A          1               0               595000          103             3              
snd             24.0       D          620000          5000            1               925             4              
snd             24.0       D          600000          5000            1               825             4              
tout/RXT        24.0       D          600000          5000            0               825             4              
rcv             24.0       A          1               0               620000          103             3              
snd/dup         24.0       D          625000          5000            0               925             4              
snd             24.0       D          625000          5000            1               925             4              
rcv             24.0       A          1               0               625000          1               3              
drop            24.0       D          630000          5000            0               748             4              
drop            24.0       D          600000          5000            0               848             4              
tout/RXT        24.0       D          600000          5000            0               848             4              
snd             24.0       D          600000          5000            1               948             4              
tout/RXT        24.0       D          600000          5000            0               948             4              
rcv             24.0       A          1               0               600000          203             3              
snd/corr        24.0       D          615000          5000            0               1100            4              
snd             24.0       D          615000          5000            1               1100            4              
snd/dup         24.0       D          615000          5000            0               1100            4              
snd             24.0       D          615000          5000            1               1100            4              
snd/RXT         24.0       D          615000          5000            0               1100            4              
rcv/DA          24.0       A          1               0               615000          2               3              
rcv/DA          24.0       A          1               0               615000          2               2              
snd/dup         24.0       D          620000          5000            0               749             3              
snd             24.0       D          620000          5000            1               749             3              
drop            24.0       D          625000          5000            0               749             4              
rcv             24.0       A          1               0               620000          0               3              
snd/rord        24.0       D          610000          5000            0               748             4              
drop            24.0       D          610000          5000            0               848             4              
tout/RXT        24.0       D          610000          5000            0               848             4              
drop            25.0       D          610000          5000            0               948             4              
tout/RXT        25.0       D          610000          5000            0               948             4              
snd/dup         25.0       D          610000          5000            0               1048            4              
snd             25.0       D          610000          5000            1               1048            4              
tout/RXT        25.0       D          610000          5000            0               1048            4              
rcv             25.0       A          1               0               625000          303             3              
snd/dup         25.0       D          615000          5000            0               1275            4              
snd             25.0       D          615000          5000            1               1275            4              
rcv             25.0       A          1               0               610000          0               3              
rcv             25.0       A          1               0               610000          0               2              
snd/corr        25.0       D          620000          5000            0               748             3              
snd             25.0       D          620000          5000            1               748             3              
snd/dely        25.0       D          625000          5000            0               748             4              
rcv             25.0       A          1               0               615000          0               3              
snd/rord        25.0       D          620000          5000            0               748             3              
snd/RXT         25.0       D          620000          5000            0               748             3              
snd/dup         25.0       D          630000          5000            0               848             3              
snd             25.0       D          630000          5000            1               848             3              
tout/RXT        25.0       D          630000          5000            0               848             3              
rcv             25.0       A          1               0               630000          103             2              
snd             25.0       D          620000          5000            1               925             2              
tout/RXT        25.0       D          620000          5000            0               925             2              
rcv             25.0       A          1               0               620000          206             1              
snd             25.0       D          625000          5000            1               1002            1              
tout/RXT        25.0       D          625000          5000            0               1002            1              
rcv             25.0       A          1               0               625000          307             0              
snd             25.0       D          625000          5000            1               1294            0              
snd             25.0       D          630000          5000            1               1282            1              
snd             25.0       D          635000          5000            1               1282            2              
snd/corr        25.0       D          640000          5000            0               1282            3              
snd             25.0       D          640000          5000            1               1282            3              
snd/corr        25.0       D          645000          5000            0               1282            4              
snd             25.0       D          645000          5000            1               1282            4              
rcv             25.0       A          1               0               630000          1               3              
drop            25.0       D          650000          5000            0               748             4              
rcv             25.0       A          1               0               635000          1               3              
drop            25.0       D          655000          5000            0               748             4              
snd/corr        25.0       D          640000          5000            0               848             4              
snd             25.0       D          640000          5000            1               848             4              
tout/RXT        25.0       D          640000          5000            0               848             4              
snd             26.0       D          640000          5000            1               948             4              
tout/RXT        26.0       D          640000          5000            0               948             4              
rcv             26.0       A          1               0               640000          204             3              
snd/dup         26.0       D          660000          5000            0               1105            4              
snd             26.0       D          660000          5000            1               1105            4              
rcv             26.0       A          1               0               660000          3               3              
snd/dup         26.0       D          665000          5000            0               750             4              
snd             26.0       D          665000          5000            1               750             4              
rcv             26.0       A          1               0               665000          1               3              
drop            26.0       D          670000          5000            0               748             4              
drop            26.0       D          645000          5000            0               848             4              
tout/RXT        26.0       D          645000          5000            0               848             4              
snd/dup         26.0       D          645000          5000            0               948             4              
snd             26.0       D          645000          5000            1               948             4              
tout/RXT        26.0       D          645000          5000            0               948             4              
rcv             26.0       A          1               0               645000          204             3              
drop            26.0       D          655000          5000            0               1105            4              
snd             26.0       D          650000          5000            1               1005            4              
tout/RXT        26.0       D          650000          5000            0               1005            4              
drop            26.0       D          650000          5000            0               901             4              
tout/RXT        26.0       D          650000          5000            0               901             4              
snd/dup         26.0       D          650000          5000            0               997             4              
snd             26.0       D          650000          5000            1               997             4              
tout/RXT        26.0       D          650000          5000            0               997             4              
rcv             26.0       A          1               0               650000          303             3              
snd/rord        26.0       D          660000          5000            0               1275            4              
snd/dely        26.0       D          655000          5000            0               1175            4              
snd             27.0       D          655000          5000            1               1723            4              
tout/RXT        27.0       D          655000          5000            0               1723            4              
snd             27.0       D          655000          5000            1               1827            4              
tout/RXT        27.0       D          655000          5000            0               1827            4              
rcv             27.0       A          1               0               655000          1155            3              
rcv             27.0       A          1               0               655000          1155            2              
snd/corr        27.0       D          665000          5000            0               2766            3              
snd             27.0       D          665000          5000            1               2766            3              
snd/dely        27.0       D          670000          5000            0               2766            4              
snd/dup         27.0       D          665000          5000            0               2766            4              
snd             27.0       D          665000          5000            1               2766            4              
snd/RXT         27.0       D          665000          5000            0               2766            4              
rcv             27.0       A          1               0               665000          1               3              
snd/dely        27.0       D          670000          5000            0               848             3              
snd             28.0       D          670000          5000            1               1208            3              
tout/RXT        28.0       D          670000          5000            0               1208            3              
rcv             28.0       A          1               0               670000          464             2              
rcv             28.0       A          1               0               670000          464             1              
snd             28.0       D          670000          5000            1               1176            1              
snd/dely        28.0       D          675000          5000            0               1560            2              
rcv             28.0       A          1               0               660000          1               1              
snd/corr        28.0       D          675000          5000            0               848             1              
snd             28.0       D          675000          5000            1               848             1              
tout/RXT        28.0       D          675000          5000            0               848             1              
snd/corr        28.0       D          675000          5000            0               948             1              
snd             28.0       D          675000          5000            1               948             1              
tout/RXT        28.0       D          675000          5000            0               948             1              
drop            28.0       D          675000          5000            0               1048            1              
tout/RXT        28.0       D          675000          5000            0               1048            1              
snd             28.0       D          675000          5000            1               1148            1              
tout/RXT        28.0       D          675000          5000            0               1148            1              
rcv             28.0       A          1               0               675000          405             0              
snd             28.0       D          675000          5000            1               1171            0              
drop            28.0       D          680000          5000            0               1455            1              
drop            28.0       D          685000          5000            0               1455            2              
snd/corr        28.0       D          690000          5000            0               1455            3              
snd             28.0       D          690000          5000            1               1455            3              
snd/corr        28.0       D          695000          5000            0               1455            4              
snd             28.0       D          695000          5000            1               1455            4              
drop            28.0       D          680000          5000            0               1355            4              
tout/RXT        28.0       D          680000          5000            0               1355            4              
snd             28.0       D          680000          5000            1               1255            4              
tout/RXT        28.0       D          680000          5000            0               1255            4              
rcv             28.0       A          1               0               680000          202             3              
snd/corr        28.0       D          700000          5000            0               1099            4              
snd             28.0       D          700000          5000            1               1099            4              
drop            29.0       D          685000          5000            0               999             4              
tout/RXT        29.0       D          685000          5000            0               999             4              
snd/rord        29.0       D          685000          5000            0               899             4              
tout/RXT        29.0       D          685000          5000            0               899             4              
snd/corr        29.0       D          685000          5000            0               999             4              
snd             29.0       D          685000          5000            1               999             4              
tout/RXT        29.0       D          685000          5000            0               999             4              
snd/dely        29.0       D          685000          5000            0               1099            4              
snd             30.0       D          685000          5000            1               1891            4              
tout/RXT        30.0       D          685000          5000            0               1891            4              
rcv             30.0       A          1               0               685000          1206            3              
snd/dup         30.0       D          705000          5000            0               2856            4              
snd             30.0       D          705000          5000            1               2856            4              
rcv             30.0       A          1               0               705000          1               3              
snd/dely        30.0       D          710000          5000            0               748             4              
snd             30.0       D          690000          5000            1               848             4              
tout/RXT        30.0       D          690000          5000            0               848             4              
drop            30.0       D          690000          5000            0               948             4              
tout/RXT        30.0       D          690000          5000            0               948             4              
snd/corr        30.0       D          690000          5000            0               1048            4              
snd             30.0       D          690000          5000            1               1048            4              
tout/RXT        30.0       D          690000          5000            0               1048            4              
snd             30.0       D          690000          5000            1               1048            4              
snd/RXT         30.0       D          690000          5000            0               1048            4              
rcv             30.0       A          1               0               690000          305             3              
snd             30.0       D          710000          5000            1               1056            3              
snd/corr        30.0       D          715000          5000            0               1280            4              
snd             30.0       D          715000          5000            1               1280            4              
rcv             30.0       A          1               0               710000          1               3              
snd/dup         30.0       D          720000          5000            0               748             4              
snd             30.0       D          720000          5000            1               748             4              
rcv             30.0       A          1               0               720000          3               3              
drop            30.0       D          725000          5000            0               750             4              
snd             30.0       D          695000          5000            1               846             4              
tout/RXT        30.0       D          695000          5000            0               846             4              
snd/dup         30.0       D          695000          5000            0               946             4              
snd             30.0       D          695000          5000            1               946             4              
tout/RXT        30.0       D          695000          5000            0               946             4              
rcv             30.0       A          1               0               695000          202             3              
snd/dely        30.0       D          730000          5000            0               1099            4              
drop            30.0       D          700000          5000            0               999             4              
tout/RXT        30.0       D          700000          5000            0               999             4              
snd             31.0       D          700000          5000            1               899             4              
tout/RXT        31.0       D          700000          5000            0               899             4              
snd/dup         31.0       D          700000          5000            0               999             4              
snd             31.0       D          700000          5000            1               999             4              
tout/RXT        31.0       D          700000          5000            0               999             4              
rcv             31.0       A          1               0               700000          305             3              
drop            31.0       D          715000          5000            0               1076            3              
tout/RXT        31.0       D          715000          5000            0               1076            3              
snd/corr        31.0       D          715000          5000            0               1176            3              
snd             31.0       D          715000          5000            1               1176            3              
tout/RXT        31.0       D          715000          5000            0               1176            3              
snd             31.0       D          715000          5000            1               1276            3              
tout/RXT        31.0       D          715000          5000            0               1276            3              
snd/corr        31.0       D          715000          5000            0               1380            3              
snd             31.0       D          715000          5000            1               1380            3              
tout/RXT        31.0       D          715000          5000            0               1380            3              
drop            31.0       D          715000          5000            0               1380            3              
snd/RXT         31.0       D          715000          5000            0               1380            3              
snd             31.0       D          715000          5000            1               1480            3              
tout/RXT        31.0       D          715000          5000            0               1484            3              
rcv             31.0       A          1               0               715000          814             2              
snd/rord        31.0       D          725000          5000            0               1458            2              
tout/RXT        31.0       D          725000          5000            0               1458            2              
snd             31.0       D          730000          5000            1               1518            2              
snd/corr        31.0       D          735000          5000            0               2170            3              
snd             31.0       D          735000          5000            1               2170            3              
snd             31.0       D          740000          5000            1               2170            4              
snd             31.0       D          730000          5000            1               2170            4              
snd/RXT         31.0       D          730000          5000            0               2170            4              
rcv             31.0       A          1               0               730000          3               3              
drop            31.0       D          745000          5000            0               750             4              
rcv             31.0       A          1               0               740000          2               3              
snd             31.0       D          750000          5000            1               749             4              
snd             31.0       D          725000          5000            1               849             4              
tout/RXT        31.0       D          725000          5000            0               849             4              
rcv             31.0       A          1               0               725000          103             3              
snd             31.0       D          755000          5000            1               925             4              
rcv             31.0       A          1               0               755000          1               3              
drop            31.0       D          760000          5000            0               748             4              
drop            32.0       D          735000          5000            0               844             4              
tout/RXT        32.0       D          735000          5000            0               844             4              
drop            32.0       D          735000          5000            0               948             4              
tout/RXT        32.0       D          735000          5000            0               948             4              
drop            32.0       D          735000          5000            0               1048            4              
tout/RXT        32.0       D          735000          5000            0               1048            4              
snd/dup         32.0       D          735000          5000            0               1148            4              
snd             32.0       D          735000          5000            1               1148            4              
tout/RXT        32.0       D          735000          5000            0               1148            4              
rcv             32.0       A          1               0               735000          403             3              
snd/dup         32.0       D          765000          5000            0               1450            4              
snd             32.0       D          765000          5000            1               1450            4              
rcv             32.0       A          1               0               765000          2               3              
snd/dup         32.0       D          770000          5000            0               749             4              
snd             32.0       D          770000          5000            1               749             4              
rcv             32.0       A          1               0               770000          1               3              
snd/corr        32.0       D          775000          5000            0               748             4              
snd             32.0       D          775000          5000            1               748             4              
snd/corr        32.0       D          745000          5000            0               848             4              
snd             32.0       D          745000          5000            1               848             4              
tout/RXT        32.0       D          745000          5000            0               848             4              
snd             32.0       D          745000          5000            1               948             4              
tout/RXT        32.0       D          745000          5000            0               948             4              
snd/dup         32.0       D          745000          5000            0               1048            4              
snd             32.0       D          745000          5000            1               1048            4              
tout/RXT        32.0       D          745000          5000            0               1048            4              
rcv             32.0       A          1               0               745000          304             3              
drop            32.0       D          760000          5000            0               1280            4              
snd             32.0       D          750000          5000            1               1176            4              
tout/RXT        32.0       D          750000          5000            0               1176            4              
rcv             32.0       A          1               0               750000          102             3              
drop            32.0       D          765000          5000            0               924             4              
snd/dely        32.0       D          760000          5000            0               824             4              
snd             33.0       D          760000          5000            1               1664            4              
tout/RXT        33.0       D          760000          5000            0               1664            4              
snd/dup         33.0       D          760000          5000            0               1764            4              
snd             33.0       D          760000          5000            1               1764            4              
tout/RXT        33.0       D          760000          5000            0               1764            4              
rcv             33.0       A          1               0               760000          1044            3              
rcv             33.0       A          1               0               760000          1044            2              
drop            33.0       D          770000          5000            0               2575            3              
snd/rord        33.0       D          775000          5000            0               2575            4              
drop            33.0       D          775000          5000            0               2475            4              
tout/RXT        33.0       D          775000          5000            0               2475            4              
snd             33.0       D          775000          5000            1               2371            4              
tout/RXT        33.0       D          775000          5000            0               2371            4              
rcv             33.0       A          1               0               775000          202             3              
rcv             33.0       A          1               0               775000          202             2              
snd/dely        33.0       D          780000          5000            0               1099            3              
snd/corr        34.0       D          765000          5000            0               999             3              
snd             34.0       D          765000          5000            1               999             3              
tout/RXT        34.0       D          765000          5000            0               999             3              
snd             34.0       D          765000          5000            1               999             3              
snd/RXT         34.0       D          765000          5000            0               999             3              
rcv             34.0       A          1               0               765000          102             2              
snd/dup         34.0       D          770000          5000            0               924             2              
snd             34.0       D          770000          5000            1               924             2              
tout/RXT        34.0       D          770000          5000            0               924             2              
rcv             34.0       A          1               0               770000          204             1              
snd             34.0       D          780000          5000            1               1001            1              
tout/RXT        34.0       D          780000          5000            0               1001            1              
rcv             34.0       A          1               0               780000          305             0              
snd             34.0       D          780000          5000            1               1532            0              
snd             34.0       D          785000          5000            1               1280            1              
drop            34.0       D          790000          5000            0               1280            2              
drop            34.0       D          795000          5000            0               1280            3              
snd/dup         34.0       D          800000          5000            0               1280            4              
snd             34.0       D          800000          5000            1               1280            4              
rcv             34.0       A          1               0               785000          4               3              
snd             34.0       D          805000          5000            1               755             4              
rcv             34.0       A          1               0               800000          12              3              
snd/dup         34.0       D          810000          5000            0               769             4              
snd             34.0       D          810000          5000            1               765             4              
rcv             34.0       A          1               0               805000          1               3              
drop            34.0       D          815000          5000            0               748             4              
rcv             34.0       A          1               0               810000          2               3              
snd             34.0       D          820000          5000            1               749             4              
drop            34.0       D          790000          5000            0               849             4              
tout/RXT        34.0       D          790000          5000            0               849             4              
snd/rord        35.0       D          790000          5000            0               949             4              
tout/RXT        35.0       D          790000          5000            0               949             4              
snd             35.0       D          790000          5000            1               1049            4              
tout/RXT        35.0       D          790000          5000            0               1049            4              
rcv             35.0       A          1               0               820000          304             3              
snd/corr        35.0       D          805000          5000            0               1280            4              
snd             35.0       D          805000          5000            1               1280            4              
snd             35.0       D          805000          5000            1               1276            4              
snd/RXT         35.0       D          805000          5000            0               1276            4              
rcv/DA          35.0       A          1               0               805000          1               3              
drop            35.0       D          810000          5000            0               748             4              
snd             35.0       D          790000          5000            1               848             4              
tout/RXT        35.0       D          790000          5000            0               848             4              
rcv             35.0       A          1               0               790000          102             3              
snd/corr        35.0       D          815000          5000            0               924             4              
snd             35.0       D          815000          5000            1               924             4              
snd/dup         35.0       D          795000          5000            0               824             4              
snd             35.0       D          795000          5000            1               824             4              
tout/RXT        35.0       D          795000          5000            0               824             4              
rcv             35.0       A          1               0               795000          103             3              
snd/dup         35.0       D          820000          5000            0               925             4              
snd             35.0       D          820000          5000            1               925             4              
rcv             35.0       A          1               0               820000          1               3              
snd             35.0       D          825000          5000            1               748             4              
rcv             35.0       A          1               0               825000          1               3              
snd             35.0       D          830000          5000            1               748             4              
rcv             35.0       A          1               0               830000          0               3              
snd/rord        35.0       D          835000          5000            0               748             4              
snd/dely        35.0       D          815000          5000            0               848             4              
snd             36.0       D          815000          5000            1               1832            4              
tout/RXT        36.0       D          815000          5000            0               1832            4              
snd/dup         36.0       D          815000          5000            0               1932            4              
snd             36.0       D          815000          5000            1               1932            4              
tout/RXT        36.0       D          815000          5000            0               1932            4              
rcv             36.0       A          1               0               815000          1187            3              
rcv             36.0       A          1               0               815000          1187            2              
drop            36.0       D          840000          5000            0               2822            3              
snd/dely        36.0       D          845000          5000            0               2822            4              
snd             36.0       D          845000          5000            1               2790            4              
snd/dely        36.0       D          810000          5000            0               2690            4              
snd             37.0       D          810000          5000            1               2138            4              
tout/RXT        37.0       D          810000          5000            0               2138            4              
rcv             37.0       A          1               0               810000          688             3              
snd/rord        37.0       D          850000          5000            0               1952            4              
rcv             37.0       A          1               0               845000          0               3              
snd/corr        37.0       D          855000          5000            0               748             4              
snd             37.0       D          855000          5000            1               748             4              
drop            37.0       D          835000          5000            0               848             4              
tout/RXT        37.0       D          835000          5000            0               848             4              
snd             37.0       D          835000          5000            1               948             4              
tout/RXT        37.0       D          835000          5000            0               948             4              
rcv             37.0       A          1               0               835000          202             3              
drop            37.0       D          860000          5000            0               1099            4              
snd             37.0       D          840000          5000            1               999             4              
tout/RXT        37.0       D          840000          5000            0               999             4              
snd             37.0       D          840000          5000            1               899             4              
tout/RXT        37.0       D          840000          5000            0               899             4              
rcv             37.0       A          1               0               840000          203             3              
snd/dup         37.0       D          865000          5000            0               1100            4              
